Project	File Name	data	bugs
Apache ODE	CorrelationKeySetTest.java	(1,5,109,0,18)	0.5
Apache ODE	CorrelationSetDAOImpl.java	(1,10,65,0,18)	0.055555556
Apache ODE	DefaultResourceFinder.java	(1,8,75,2,18)	0.16783217
Apache ODE	PartnerLinkMyRoleImpl.java	(2,13,225,27,18)	0.089527026
Apache ODE	XslCompileUriResolver.java	(1,2,19,0,18)	0.07692308
Apache ODE	XslRuntimeUriResolver.java	(1,2,17,0,18)	0.07692308
Apache ODE	BpelRuntimeContextImpl.java	(9,89,888,75,24)	0.089527026
Apache ODE	CompilationMessageTest.java	(1,6,68,1,18)	0.5
Apache ODE	CorrelationJoinHibTest.java	(1,1,4,0,18)	0.2
Apache ODE	MessageExchangeDAOImpl.java	(1,54,157,1,18)	0.055555556
Apache ODE	MessageExchangeDaoImpl.java	(1,52,222,4,18)	0.5
Apache ODE	ProcessInstanceDAOImpl.java	(1,45,211,17,18)	0.055555556
Apache ODE	ProcessInstanceDaoImpl.java	(2,44,322,14,19)	0.055555556
Apache ODE	ActivityRecoveryDAOImpl.java	(1,12,69,1,18)	0.055555556
Apache ODE	CorrelationMultiHibTest.java	(1,1,4,0,18)	0.2
Apache ODE	HMessageExchangeProperty.java	(1,11,26,4,18)	1.0
Apache ODE	ExprEvaluationContextImpl.java	(1,17,79,1,18)	0.2
Apache ODE	MyRoleMessageExchangeImpl.java	(4,25,180,3,18)	0.027027028
Apache ODE	CorrelationJoinLazyHibTest.java	(1,1,4,0,18)	0.2
Apache ODE	MessageExchangeContextImpl.java	(1,3,21,0,18)	0.089527026
Apache ODE	BPELDAOConnectionFactoryImpl.java	(5,33,126,5,18)	0.055555556
Apache Pig	ABS.java	(1,3,32,0,20)	0.023809524
Apache Pig	AVG.java	(4,15,179,17,21)	0.29944637
Apache Pig	Add.java	(1,9,87,0,20)	0.29036176
Apache Pig	COR.java	(4,15,199,9,47)	1.0238096
Apache Pig	COS.java	(1,1,4,0,17)	0.023809524
Apache Pig	COV.java	(4,15,175,8,17)	0.023809524
Apache Pig	EXP.java	(1,1,4,0,45)	0.023809524
Apache Pig	LOG.java	(1,1,4,0,17)	0.023809524
Apache Pig	MAX.java	(3,4,25,0,20)	0.60897017
Apache Pig	MIN.java	(4,14,143,12,22)	0.60897017
Apache Pig	Mod.java	(1,7,55,0,20)	0.29036176
Apache Pig	Pig.java	(1,21,147,8,17)	6.4697804
Apache Pig	SIN.java	(1,1,4,0,45)	0.023809524
Apache Pig	SUM.java	(4,14,140,16,21)	0.067303516
Apache Pig	TAN.java	(1,1,4,0,17)	0.023809524
Apache Pig	TOP.java	(5,12,187,3,49)	1.0
Apache Pig	Top.java	(5,12,187,3,71)	0.023809524
Apache Pig	ACOS.java	(1,1,4,0,17)	0.023809524
Apache Pig	ASIN.java	(1,1,4,0,17)	0.023809524
Apache Pig	ATAN.java	(1,1,4,0,17)	0.023809524
Apache Pig	CBRT.java	(1,1,4,0,17)	0.023809524
Apache Pig	CEIL.java	(1,1,4,0,47)	0.023809524
Apache Pig	COSH.java	(1,1,4,0,45)	0.023809524
Apache Pig	Cond.java	(1,4,11,0,17)	0.017483585
Apache Pig	DIFF.java	(1,2,49,3,17)	0.52040815
Apache Pig	HJob.java	(2,19,102,1,17)	1.6501671
Apache Pig	LOOr.java	(1,5,26,0,17)	0.18465386
Apache Pig	POOr.java	(1,6,48,13,20)	0.49725473
Apache Pig	SINH.java	(1,1,4,0,45)	0.023809524
Apache Pig	SIZE.java	(1,3,55,0,20)	1.0238096
Apache Pig	SQRT.java	(1,1,4,0,45)	0.023809524
Apache Pig	TANH.java	(1,1,4,0,17)	0.023809524
Apache Pig	TRIM.java	(1,3,31,0,20)	0.38431373
Apache Pig	Util.java	(1,6,83,1,17)	13.310954
Apache Pig	ARITY.java	(1,2,19,0,17)	0.55714285
Apache Pig	COUNT.java	(4,9,59,6,17)	0.15096152
Apache Pig	Datum.java	(1,2,13,0,17)	0.03789175
Apache Pig	ExGen.java	(1,1,52,13,28)	0.25
Apache Pig	FLOOR.java	(1,1,4,0,17)	0.023809524
Apache Pig	GFAny.java	(1,3,14,0,17)	0.017483585
Apache Pig	Grunt.java	(1,4,47,0,17)	1.5487107
Apache Pig	HPath.java	(1,26,94,1,17)	0.0947841
Apache Pig	LOAdd.java	(1,5,26,0,17)	0.18465386
Apache Pig	LOAnd.java	(1,5,26,0,17)	0.18465386
Apache Pig	LOMod.java	(1,5,26,0,17)	0.18465386
Apache Pig	LONot.java	(1,5,25,0,17)	0.18465386
Apache Pig	LOWER.java	(1,0,11,0,25)	0.14145659
Apache Pig	POAnd.java	(1,6,48,13,20)	0.49725473
Apache Pig	PONot.java	(1,6,42,0,20)	0.1639214
Apache Pig	ROUND.java	(1,3,29,0,20)	0.023809524
Apache Pig	Slice.java	(1,8,14,0,17)	0.65
Apache Pig	Split.java	(1,1,24,1,17)	0.14145659
Apache Pig	TOBAG.java	(1,5,82,6,16)	4.142857
Apache Pig	TOMAP.java	(1,2,27,1,16)	1.0
Apache Pig	ToBag.java	(1,1,19,0,27)	0.023809524
Apache Pig	Tuple.java	(1,12,22,2,25)	3.802929
Apache Pig	UPPER.java	(1,3,30,0,28)	1.8571428
Apache Pig	Divide.java	(1,12,80,0,28)	0.79036176
Apache Pig	GetDay.java	(1,3,22,0,17)	0.064764805
Apache Pig	IntAbs.java	(1,2,17,0,46)	0.023809524
Apache Pig	IntAvg.java	(4,11,122,18,17)	0.21988796
Apache Pig	IntMax.java	(3,3,10,0,17)	0.08179272
Apache Pig	IntMin.java	(1,2,18,0,17)	0.05322129
Apache Pig	KEYSET.java	(1,2,38,1,17)	0.14285715
Apache Pig	LENGTH.java	(1,2,19,0,17)	0.11764706
Apache Pig	LOCast.java	(1,7,31,2,17)	2.2900841
Apache Pig	LOEval.java	(1,8,43,3,17)	0.017483585
Apache Pig	LOJoin.java	(1,17,115,15,23)	4.12058
Apache Pig	LOLoad.java	(1,15,107,9,20)	5.07539
Apache Pig	LORead.java	(1,10,43,1,17)	0.009009009
Apache Pig	LOSort.java	(1,19,102,9,17)	2.232725
Apache Pig	MRUtil.java	(1,2,55,7,17)	1.1
Apache Pig	OrCond.java	(1,6,37,0,17)	0.017483585
Apache Pig	POCast.java	(1,24,1014,70,17)	6.8207736
Apache Pig	POEval.java	(1,5,74,8,33)	0.08891216
Apache Pig	POLoad.java	(1,17,92,6,20)	2.9681716
Apache Pig	PORank.java	(1,18,103,1,17)	0.06666667
Apache Pig	PORead.java	(1,11,46,8,17)	0.3460846
Apache Pig	POSort.java	(3,25,200,10,30)	4.697977
Apache Pig	RANDOM.java	(1,4,17,0,17)	0.59487736
Apache Pig	TestPi.java	(1,4,88,0,20)	0.20433156
Apache Pig	ToDate.java	(1,4,51,0,17)	0.064764805
Apache Pig	AndCond.java	(1,6,37,0,17)	0.017483585
Apache Pig	BagSize.java	(1,2,21,0,17)	0.023809524
Apache Pig	DataBag.java	(1,8,25,0,17)	1.6870748
Apache Pig	DataMap.java	(1,14,74,0,17)	0.03789175
Apache Pig	ExecJob.java	(1,10,19,0,17)	0.5791925
Apache Pig	GFCross.java	(1,3,48,0,17)	0.017483585
Apache Pig	GetHour.java	(1,3,22,0,17)	0.064764805
Apache Pig	GetWeek.java	(1,3,22,0,17)	0.00877193
Apache Pig	GetYear.java	(1,3,22,0,17)	0.064764805
Apache Pig	INDEXOF.java	(1,2,25,0,17)	0.24145658
Apache Pig	Invoker.java	(1,11,171,2,17)	1.0
Apache Pig	IsEmpty.java	(1,1,23,0,17)	0.03789175
Apache Pig	LCFIRST.java	(1,2,22,0,17)	0.11764706
Apache Pig	LOConst.java	(1,9,39,3,17)	0.26987326
Apache Pig	LOCross.java	(1,5,46,3,17)	0.42608106
Apache Pig	LOEqual.java	(1,5,26,0,17)	0.26157695
Apache Pig	LOLimit.java	(1,15,90,4,17)	1.4275703
Apache Pig	LOSplit.java	(1,4,24,0,17)	0.64152354
Apache Pig	LOStore.java	(1,14,97,12,17)	2.537508
Apache Pig	LOUnion.java	(1,8,65,0,17)	3.7319314
Apache Pig	LcFirst.java	(1,2,22,0,20)	0.14145659
Apache Pig	LongAbs.java	(1,2,17,0,46)	0.023809524
Apache Pig	LongAvg.java	(4,14,159,15,18)	0.21988796
Apache Pig	LongMax.java	(1,2,17,0,17)	0.05322129
Apache Pig	LongMin.java	(4,9,84,4,17)	0.05322129
Apache Pig	LongSum.java	(4,9,85,6,17)	0.08179272
Apache Pig	MapSize.java	(1,2,21,0,17)	0.1131783
Apache Pig	NotCond.java	(1,6,20,0,17)	0.017483585
Apache Pig	POCross.java	(1,14,145,18,17)	0.35683885
Apache Pig	PODemux.java	(1,17,132,15,37)	2.0383866
Apache Pig	POLimit.java	(1,14,67,3,20)	0.28481504
Apache Pig	POSplit.java	(1,18,126,1,24)	2.6028938
